Наименование города,Месяц,Средняя продолжительность светового дня
Барнаул,Январь,07:49:02.064515
Барнаул,Февраль,09:41:53.827586
Барнаул,Март,11:58:22.806451
Барнаул,Апрель,14:18:32.299999
Барнаул,Май,16:24:08.032258
Барнаул,Июнь,17:32:28.799999
Барнаул,Июль,16:55:57.387096
Барнаул,Август,15:01:50.548387
Барнаул,Сентябрь,12:45:50.400000
Барнаул,Октябрь,10:27:21.580645
Барнаул,Ноябрь,08:21:22.133333
Барнаул,Декабрь,07:12:17.129032
Благовещенск,Январь,08:38:43.032258
Благовещенск,Февраль,09:41:53.827586
Благовещенск,Март,11:58:22.806451
Благовещенск,Апрель,14:18:32.299999
Благовещенск,Май,16:24:08.032258
Благовещенск,Июнь,17:32:28.799999
Благовещенск,Июль,16:55:57.387096
Благовещенск,Август,15:01:50.548387
Благовещенск,Сентябрь,12:45:50.400000
Благовещенск,Октябрь,10:27:21.580645
Благовещенск,Ноябрь,09:05:09.733333
Благовещенск,Декабрь,07:12:17.129032
Архангельск,Январь,07:49:02.064515
Архангельск,Февраль,09:41:53.827586
Архангельск,Март,11:58:22.806451
Архангельск,Апрель,14:18:32.299999
Архангельск,Май,16:24:08.032258
Архангельск,Июнь,17:32:28.799999
Архангельск,Июль,19:55:44.354838
Архангельск,Август,15:01:50.548387
Архангельск,Сентябрь,12:45:50.400000
Архангельск,Октябрь,10:27:21.580645
Архангельск,Ноябрь,08:21:22.133333
Архангельск,Декабрь,07:12:17.129032
Астрахань,Январь,07:49:02.064515
Астрахань,Февраль,09:41:53.827586
Астрахань,Март,11:58:22.806451
Астрахань,Апрель,14:18:32.299999
Астрахань,Май,16:24:08.032258
Астрахань,Июнь,17:32:28.799999
Астрахань,Июль,16:55:57.387096
Астрахань,Август,15:01:50.548387
Астрахань,Сентябрь,12:45:50.400000
Астрахань,Октябрь,10:27:21.580645
Астрахань,Ноябрь,08:21:22.133333
Астрахань,Декабрь,07:12:17.129032
Белгород,Январь,07:49:02.064515
Белгород,Февраль,10:07:08.172413
Белгород,Март,11:58:22.806451
Белгород,Апрель,14:18:32.299999
Белгород,Май,16:24:08.032258
Белгород,Июнь,17:32:28.799999
Белгород,Июль,16:55:57.387096
Белгород,Август,14:30:16.161289
Белгород,Сентябрь,12:38:50.400000
Белгород,Октябрь,10:27:21.580645
Белгород,Ноябрь,08:21:22.133333
