city,year,month,time_mean
барнаул,2024,Январь,2023-05-20 07:49:02.064515840
барнаул,2024,Февраль,2023-05-20 09:41:53.827586304
барнаул,2024,Март,2023-05-20 11:58:22.806451968
барнаул,2024,Апрель,2023-05-20 14:18:32.299999744
барнаул,2024,Май,2023-05-20 16:24:08.032258048
барнаул,2024,Июнь,2023-05-20 17:32:28.799999744
барнаул,2024,Июль,2023-05-20 16:55:57.387096832
барнаул,2024,Август,2023-05-20 15:01:50.548387072
барнаул,2024,Сентябрь,2023-05-20 12:45:50.400000256
барнаул,2024,Октябрь,2023-05-20 10:27:21.580645376
барнаул,2024,Ноябрь,2023-05-20 08:21:22.133333248
барнаул,2024,Декабрь,2023-05-20 07:12:17.129032192
благовещенск,2024,Январь,2023-05-20 08:38:43.032258304
благовещенск,2024,Февраль,2023-05-20 09:41:53.827586304
благовещенск,2024,Март,2023-05-20 11:58:22.806451968
благовещенск,2024,Апрель,2023-05-20 14:18:32.299999744
благовещенск,2024,Май,2023-05-20 16:24:08.032258048
благовещенск,2024,Июнь,2023-05-20 17:32:28.799999744
благовещенск,2024,Июль,2023-05-20 16:55:57.387096832
благовещенск,2024,Август,2023-05-20 15:01:50.548387072
благовещенск,2024,Сентябрь,2023-05-20 12:45:50.400000256
благовещенск,2024,Октябрь,2023-05-20 10:27:21.580645376
благовещенск,2024,Ноябрь,2023-05-20 09:05:09.733333504
благовещенск,2024,Декабрь,2023-05-20 07:12:17.129032192
архангельск,2024,Январь,2023-05-20 07:49:02.064515840
архангельск,2024,Февраль,2023-05-20 09:41:53.827586304
архангельск,2024,Март,2023-05-20 11:58:22.806451968
архангельск,2024,Апрель,2023-05-20 14:18:32.299999744
архангельск,2024,Май,2023-05-20 16:24:08.032258048
архангельск,2024,Июнь,2023-05-20 17:32:28.799999744
архангельск,2024,Июль,2023-05-20 19:55:44.354838784
архангельск,2024,Август,2023-05-20 15:01:50.548387072
архангельск,2024,Сентябрь,2023-05-20 12:45:50.400000256
архангельск,2024,Октябрь,2023-05-20 10:27:21.580645376
архангельск,2024,Ноябрь,2023-05-20 08:21:22.133333248
архангельск,2024,Декабрь,2023-05-20 07:12:17.129032192
астрахань,2024,Январь,2023-05-20 07:49:02.064515840
астрахань,2024,Февраль,2023-05-20 09:41:53.827586304
астрахань,2024,Март,2023-05-20 11:58:22.806451968
астрахань,2024,Апрель,2023-05-20 14:18:32.299999744
астрахань,2024,Май,2023-05-20 16:24:08.032258048
астрахань,2024,Июнь,2023-05-20 17:32:28.799999744
астрахань,2024,Июль,2023-05-20 16:55:57.387096832
астрахань,2024,Август,2023-05-20 15:01:50.548387072
астрахань,2024,Сентябрь,2023-05-20 12:45:50.400000256
астрахань,2024,Октябрь,2023-05-20 10:27:21.580645376
астрахань,2024,Ноябрь,2023-05-20 08:21:22.133333248
астрахань,2024,Декабрь,2023-05-20 07:12:17.129032192
белгород,2024,Январь,2023-05-20 07:49:02.064515840
белгород,2024,Февраль,2023-05-20 10:07:08.172413952
белгород,2024,Март,2023-05-20 11:58:22.806451968
белгород,2024,Апрель,2023-05-20 14:18:32.299999744
белгород,2024,Май,2023-05-20 16:24:08.032258048
белгород,2024,Июнь,2023-05-20 17:32:28.799999744
белгород,2024,Июль,2023-05-20 16:55:57.387096832
белгород,2024,Август,2023-05-20 14:30:16.161289984
белгород,2024,Сентябрь,2023-05-20 12:38:50.400000256
белгород,2024,Октябрь,2023-05-20 10:27:21.580645376
белгород,2024,Ноябрь,2023-05-20 08:21:22.133333248
белгород,2024,Декабрь,2023-05-20 07:12:17.129032192
брянск,2024,Январь,2023-05-20 07:49:02.064515840
брянск,2024,Февраль,2023-05-20 09:41:53.827586304
брянск,2024,Март,2023-05-20 11:58:22.806451968
брянск,2024,Апрель,2023-05-20 14:18:32.299999744
брянск,2024,Май,2023-05-20 16:24:08.032258048
брянск,2024,Июнь,2023-05-20 17:32:28.799999744
брянск,2024,Июль,2023-05-20 16:55:57.387096832
брянск,2024,Август,2023-05-20 14:45:22.548387328
брянск,2024,Сентябрь,2023-05-20 12:45:50.400000256
брянск,2024,Октябрь,2023-05-20 10:27:21.580645376
брянск,2024,Ноябрь,2023-05-20 08:21:22.133333248
брянск,2024,Декабрь,2023-05-20 07:12:17.129032192
владимир,2024,Январь,2023-05-20 07:49:02.064515840
владимир,2024,Февраль,2023-05-20 09:41:53.827586304
владимир,2024,Март,2023-05-20 11:58:14.741935616
владимир,2024,Апрель,2023-05-20 14:18:32.299999744
владимир,2024,Май,2023-05-20 16:28:23.870967296
владимир,2024,Июнь,2023-05-20 17:38:19.333333504
владимир,2024,Июль,2023-05-20 16:55:57.387096832
владимир,2024,Август,2023-05-20 15:01:50.548387072
владимир,2024,Сентябрь,2023-05-20 12:45:50.400000256
владимир,2024,Октябрь,2023-05-20 10:27:21.580645376
владимир,2024,Ноябрь,2023-05-20 08:21:22.133333248
владимир,2024,Декабрь,2023-05-20 07:12:17.129032192
волгоград,2024,Январь,2023-05-20 07:49:02.064515840
волгоград,2024,Февраль,2023-05-20 09:41:53.827586304
волгоград,2024,Март,2023-05-20 11:58:22.806451968
волгоград,2024,Апрель,2023-05-20 13:47:48.466666752
волгоград,2024,Май,2023-05-20 16:24:08.032258048
волгоград,2024,Июнь,2023-05-20 17:32:28.799999744
волгоград,2024,Июль,2023-05-20 16:55:57.387096832
волгоград,2024,Август,2023-05-20 15:01:50.548387072
волгоград,2024,Сентябрь,2023-05-20 12:45:50.400000256
волгоград,2024,Октябрь,2023-05-20 10:27:21.580645376
волгоград,2024,Ноябрь,2023-05-20 08:21:22.133333248
волгоград,2024,Декабрь,2023-05-20 07:12:17.129032192
вологда,2024,Январь,2023-05-20 07:06:39.225806592
вологда,2024,Февраль,2023-05-20 09:41:53.827586304
вологда,2024,Март,2023-05-20 11:58:22.806451968
вологда,2024,Апрель,2023-05-20 14:18:32.299999744
вологда,2024,Май,2023-05-20 16:24:08.032258048
вологда,2024,Июнь,2023-05-20 17:32:28.799999744
вологда,2024,Июль,2023-05-20 16:55:57.387096832
вологда,2024,Август,2023-05-20 15:01:50.548387072
вологда,2024,Сентябрь,2023-05-20 12:45:50.400000256
вологда,2024,Октябрь,2023-05-20 10:27:21.580645376
