flower_name,desc,arial,eco,resursi
АДЕНОСТИЛЕС РОМБОЛИСТНЫЙ,"Описание. Травянистый многолетник высотой 50-150 (250) см. Корневище серовато-бурое, с рыхлой сердцевиной или полое, горизонтальное, длинное, полз - учее, с поперечными рубцами от опавших чешуевидных листьев, густо усаженное шнуровидными придаточ - ными корнями. Стебли многочисленные, голые, тем - но-зеленые со слабым сизоватым налетом, ребристые, прямостоячие, в верхней части — ветвистые, полые. Листья очередные, черешковые, треугольно-почковид - ные или широкояйцевидные, коротко- и рассеянноо - пушенные, у основания глубоковыемчатые, нередко сердцевидно-стреловидные, по краю неравнозубчатые. Прикорневые листья длиной до 30 см, с длинными че - решками; стеблевые листья уменьшаются к верхушке стебля, черешки их у основания без ушек или с ушками; верхние листья длиной 1-8 см, почти сидячие, эллипти - ческие или ланцетовидные, при основании оттянутые. На концах стеблей и их разветвлений расположены щитковидно-метельчатые соцветия, образованные мно - гочисленными мелкими корзинками, содержащими по 5-15 цветков в каждой. Корзинка с 2-3 наружными узко - линейными листочками обертки, более короткими, при - мерно в 2 раза, чем внутренние. Последние 5-8 из них – продолговатые или ланцетовидные, по краю пленчатые. Обертки корзинок цилиндрические, длиной 4-8 мм и шириной 2-4 мм. Все цветки в корзинке трубчатые, обоеполые, с четырехзубчатой чашечкой. Плод – про - долговатая, к основанию суженная, продольно-ребри - стая, слегка согнутая, голая, зеленовато-коричневая се - мянка длиной около 4 мм. Диплоидный набор хромосом 2n=38. Цветет в июне-августе; плоды созревают в июле-сентябре. На основании изучения ареалов, морфологиче - ских признаков и химического состава внутри аде - ностилеса ромболистного отечественными учеными предложено различать три внутривидовых таксона. Два из них распространены в западной части ареала: «без - ушковый», малоцветковый, саррацинсодержащий – от - носимый к подвиду A. rhombifolius subsp. rhombifolius и «ушковый», многоцветковый, платифиллинсодер - жащий – относимый к A. rhombifolius (Willd.) Sch. Bip. subsp. platyphylloides (Somm. et Levier) M.Pimen., Jakhont., E.Lesk. et A.Schroeter. B восточной части ареала распространен таксон с третьей комбинацией основных диагностических признаков – «безушковый», малоцветковый, представ - ленный как платифиллинсодержащей, так и саррацин - содержащей химическими разновидностями. В медицине используют лишь надземную часть (траву) платифиллинсодержащих разновидностей аде -ностилеса ромболистного. При необходимости можно использовать и подземную часть растения, но это ведет к истощению его зарослей.","Ареал. Аденостилес ромболистный – эндемик Кавказа. Согласно классификации А.А. Гроссгейма, он принадлежит к группе закавказских условных эндеми - ков колхидской группы. Однако, в связи с его произрас - танием также в Малой Азии, правильнее относить его к группе видов с колхидско-лазистанским типом ареала. Аденостилес ромболистный растет во всех республи - ках, краях Северного Кавказа. Ареал аденостилеса ромболистного простирает - ся с северо-запада на юго-восток, повторяя очертания Главного Кавказского хребта и его боковых отрогов. От крайней северо-западной точки ареала (г. Шепси, 44°с.ш. и 39°30`в.д.) граница ареала идет в восточном направлении до пос. Курджиново, оттуда спускается на юго-восток и проходит севернее пос. Архыз и Теберды. Отсюда граница ареала крестовника несколько подни - мается к северо-востоку, проходя севернее г. Тырныауза и южнее пос. Алагир, обходя с севера горы Столовую и Скалистую. Отсюда она направляется на юго-вос - ток вдоль склонов Большого Кавказского хребта до г. Багадаг – крайней северо-восточной точки ареала. Далее граница ареала поворачивает на юг, пересекает Кавказский хребет и уходит в Азербайджан, Армению и Грузию, направляясь на запад вдоль южных склонов Большого Кавказского хребта и большинства гор Мало - го Кавказа.",,
АИР ОБЫКНОВЕННЫЙ,"Описание. Многолетнее травянистое однодольное растение высотой 60-120 см. Корневище горизонталь - ное, ветвистое, ползучее, извилистое, сплюснуто-ци - линдрическое, до 1,5 м длиной и до 3 см толщиной, с многочисленными тонкими белыми шнуровидными корнями. Снаружи корневище покрыто остатками ли - стовых влагалищ, желтовато-зеленое, почти бурое, внутри — белое с розовым оттенком. Листья линей - но-мечевидные, 0,5-2 см шириной очередные, цельно - крайние, с параллельным жилкованием, ярко-зеленые, собранные пучками на концах разветвлений корневища. Цветоносный стебель прямостоячий, 45-90 см высотой, неветвистый, зеленый, сплюснутый, слегка желобча - тый, с острым ребром. Листья, и особенно корневища, обладают сильным приятным запахом. Соцветие — мясистый, верхушечный, цилиндрическо-конический, отклоненный от основания в сторону початок длиной 4-12 см и шириной 0,8-1,5 см. Цветки мелкие, зеленова - то-желтые, обоеполые. К початку прилегает длинный, глубокожелобчатый, зеленый, чехлообразный кроющий лист (покрывало). Стебель с кроющим листом почти равен по высоте листьям. Околоцветник невзрачный, простой, из 6 листочков; листочки пленчатые со слегка утолщенными и загнутыми внутрь верхушками. Тычи - нок 6, расположенных супротивно листочкам около - цветника. Завязь верхняя, трехгнездная, почти шести - гранная; рыльце сидячее. Особенности строения указы - вают на примитивность цветка. Плод — продолговатая, многосемянная, зеленая или красноватая, подсыхающая ягода, снизу с остатка - ми околоцветника. Цветет довольно редко, с конца мая по июль. Плоды аира в условиях России не вызревают, поэтому растение размножается только вегетативно: на - растанием корневищ. Диплоидный кариотип (2n=24) растения присут - ствует в Северной Америке и в некоторых частях Азии (Сибирь), а также в западных Гималаях; стерильный триплоидный кариотип (3n=36) найден в Центральной Европе, Кашмире, Индии (превалирует); тетраплоид - ный кариотип (4n=48) встречается в Индии, Восточной Азии и Японии. Лекарственным растительным сырьем являются корневища аира.",,,
АЛОЭ ДРЕВОВИДНОЕ,"Описание. Суккулентный кустарник высотой до 5 м. В России культивируют в виде многолетнего тра - вянистого растения или кустарника, достигающего 1-3 м высоты. Корневая система мочковатая, сильно разветвленная, расположенная, в основном, в поверх - ностном слое почвы. Корни молодых растений желтова - то-белые или желтые, толщиной 3-6 мм. Стебли прямостоячие до 30 см в высоту, мало - ветвящиеся, в нижней части с многочисленными коль - цевидными рубцами — следами опавших листьев. От основания стебля нередко развиваются боковые побеги, которые служат для вегетативного размножения расте - ния. Листья очередные, сближенные в верхней части стебля, стеблеобъемлющие, удлиненно-мечевидные, на конце заостренные, слабожелобчатые, зеленовато-си - зые, в засушливых условиях приобретают красноватый оттенок, покрытые, особенно снизу, тонким, легко сти - рающимся восковым налетом. По краям они усажены хрящеватыми острыми треугольными шипами 3-5 мм в длину с расстоянием в 10-15 мм, большей частью загнутыми к верхушке. Длина листьев 65-70 см, ширина у основания 5-7 см, толщина 1,5-2 см. Соцветие — пазушная густая цилиндрическая кисть длиной 20-40 см, на прямом или изогнутом цве - тоносе высотой до 80 см. Цветки оранжево-красные, длиной до 40 мм, поникающие, на тонких цветоножках, длиной 3-4 см. Прицветники широко яйцевидные, по краям пленчатые, шершавые, коричневые. Околоцвет - ник простой, венчиковидный, трубчатый, неправиль - но-цилиндрический, шестилепестный. Пыльники яр - ко-оранжевые. Пестик с верхней трехгнездной завязью и нитевидным столбиком. Плод – коробочка продолго - вато-яйцевидной формы, желтовато-коричневого цвета, 17-18 мм в длину и 7 мм в диаметре. Семена черные с беловатыми очень узкими крыльями, 1,75 мм в длину и 3,5 мм в ширину. Диплоидный набор хромосом 2n=14. Цветет в январе-апреле.",,,"Ресурсы. В России нет дикорастущего алоэ. В на - шей стране оно широко распространено в комнатной культуре. Специализированные хозяйства ежегодно производят для фармацевтической промышленности десятки тонн свежих листьев алоэ. Плантации исполь - зуют не более 5 лет, так как растения становятся боль - шими, что затрудняет их пересадку."
АЛТЕЙ ЛЕКАРСТВЕННЫЙ,"Описание. Многолетнее серовато-зеленое травя - нистое растение высотой 60-150 см. Корневище тол - стое, короткое, многоглавое, с мощным стержневым, в верхней части древеснеющим корнем, достигающим 50 cм длины; корни мясистые, беловатые. Стебли оди - ночные или их несколько, слабо ветвистые, в нижней части — древеснеющие, цилиндрические. Листья оче - редные, длиной 5-15 см, черешковые, бархатисто-вой - лочные от густого короткого опушения; по краю город - чато-зубчатые; верхние листья цельные, яйцевидные, средние и нижние — неглубоко 3- или 5-лопастные, с вытянутой верхушкой. Прилистники мелкие, узколан - цетовидные или линейные, рано опадающие. Цветки 20-30 мм в диаметрe, на коротких цветоножках, скуче - ны в пазухах верхних и средних листьев и на верхушке стебля. Чашечка с подчашием, остающаяся при плодах, в 2-3 раза короче венчика, глубоко надрезана на 5 треу - гольных острых лопастей. Подчашие глубоко рассечено на 8-13 линейных листочков, сросшихся у основания. Венчик бледно-розовый, пятилепестный; лепестки об - ратнояйцевидные, на верхушке — с неглубокой выем - кой, к основанию cyженные в ноготок и срастающие - ся с тычиночной трубкой. Тычинки многочисленные, сросшиеся почти доверху в одну общую трубку. Пестик с верхней 15-25-гнездной плоской завязью. Столбики по числу гнезд завязи, спаяны в колонку, проходящую через тычиночную трубку, на верхушке — свободные, с простыми рыльцами. Плод — плоская, дисковидная, дробная многосе - мянка, состоящая из 15-25 желтовато-серых плодиков (семянок), густо покрытых на спинке звездчатыми во - лосками; околоплодник тонкий, легко отделяющийся от семени. Плод 3–4 мм длиной и шириной, на спинке 1 мм толщиной, плоский, в очертании почти округлый с поч - ковидным углублением; от спинки к рубчику клино - видно сужается. Спинка выпуклая с закругленными ре - брами, шероховато-волнистая, с короткими волосками; желтая или темно-коричневая. Боковые поверхности пергаментно-белые, гладкие. Семя легко отделяется, 2–2,5 мм длиной, 1,8–2 мм шириной, 0,6–0,8 мм толщи - ной, линзовидно- уплощенное, почковидное. Спинная грань круглая, боковые поверхности слегка вогнутые. Место прикрепления охвачено круговидным углублени - ем, желтоватое с язычковидным, слегка выступающим рубчиковым жгутиком. Поверхность серо-коричневая или темно-коричневая, гладкая, матовая. Масса 1000 семян 2-2,7 г. Цветет с июня до сентя - бря; плоды созревают с июля. Диплоидный набор хромосом 2n=40, 44. Лекарственным растительным сырьем являются корни алтея лекарственного. Другие виды. Наряду с алтеем лекарственным в медицине используют сырье алтея армянского — Althaea armeniaca Ten. У алтея лекарственного листья без лопастей или с неглубокими выемками, у алтея ар - мянского средние листья пятираздельные, верхние — трехраздельные; у алтея лекарственного плоды целиком опушенные, у алтея армянского они с неопушенным основанием. Встречается в европейской части России (низовья Волги и Дона, а также в Азии: Средней Азии, Казахстане и на Кавказе).","Ареал. Алтей лекарственный имеет дизъюнктив - ный ареал, состоящий из двух частей, европейской и сибирской. Он растет в степной и лесостепной зонах европейской части России, на юге Западной Сибири, в некоторых районах Кавказа. Северная граница его ареала большей частью совпадает с северной границей лесостепной зоны; она идет на северо-восток от грани - цы с Беларусью к Брянску, далее направляется на вос - ток примерно по широте 53°с.ш., у Кузнецка поворачи - вает на север и южнее Казани пересекает Волгу. Далее она направляется на восток и восточнее Уфы резко по - ворачивает к югу, следуя вдоль склонов Южного Урала, опускается до границы с Казахстаном. Южная граница ареала алтея лекарственного в европейской части со - впадает с государственной границей России. Северная граница сибирской части ареала алтея проходит между 55° и 56° параллелями с.ш., по линии Омск-Кемерово, у Кемерово поворачивая на юг, спускается приблизи - тельно по меридиану 86°в.д. к подножию Алтайских гор и, огибая их с запада, выходит к государственной границе. Западная граница распространения алтея, оги - бая с запада Омск, спускается на юго-восток до грани - цы с Казахстаном. Южная граница ареала проходит по государственной границе России.",,
АММИ БОЛЬШАЯ,"Описание. Однолетнее или двулетнее травянистое растение высотой 30-100 см. Корневая система стерж - невая, слабоветвистая; корни беловатые. Мелкие боко - вые корни с многочисленными корешками отмечаются только в середине и на конце стержневого корня. Они отходят от него на 20-30 см. Стебель ветвистый, мало - облиственный, прямой, округлый, полый, бороздчатый. Первые 3-4 листа простые, последующие — дваж - ды-трижды перисторассеченные; доли листьев широ - кие или узкие, по краям острозубчатые. Соцветие — сложный зонтик, 10-15 см в диаметре. Лучи зонтика многочисленные, голые, 2-7 см длиной, с оберткой из многочисленных заостренных листочков, во время цве - тения распростертые, при плодах — сжатые. Листочки обертки перисторассеченные, листочки оберточек — цельные. Цветки белые, до 3 мм в диаметре. Тычинок 5, они чередуются с лепестками. Пестиков 2, с нектар - ным диском у основания. Завязь нижняя, двугнездная. На лепестках находятся содержащие эфирное масло секреторные вместилища, так называемые элайофоры, служащие для привлечения насекомых. Плод (висло - плодник) — яйцевидный или продолговато-яйцевид - ный, сжатый с боков, голый, гладкий. Мерикарпий 1,8– 2,5 мм длиной, 0,8–2 мм шириной, 0,8 мм толщиной, узкий, эллиптический, ширина вдвое меньше высоты, с остатком пестика. Спинка выпуклая с 5-ю четкими светлыми, желтоватыми ребрами. Спаечная сторона чаще всего плоская с 2 близко расположенными друг к другу продольными бороздками в середине. Поверх - ность зелено-коричневая, матовая. Масса 1000 шт. 0,5 г. Наиболее крупные и полновесные плоды формируются у амми в главных зонтиках и зонтиках 1-2 порядков. Диплоидный набор хромосом 2 n=22. Лекарственным растительным сырьем у амми большой являются плоды.",,,Ресурсы. Годовая потребность населения России в препаратах амми большой требует производства пло - дов этого растения в объеме 10-20 т. Все необходимое для медицинской промышленности сырье можно выра - щивать на Кубани и в других регионах.
АММИ ЗУБНАЯ,"Описание. Двулетнее, в культуре однолетнее, сильноветвистое, голое травянистое растение. Корень беловатый, стержневой, деревянистый, слабоветви - стый. Стебель прямой, одиночный, сравнительно тол - стый, ветвистый в верхней и средней части, зеленый, густо облиственный, высотой 45-120 см. Листья очеред - ные, в очертании листовые пластинки треугольно-яйце - видные, дважды или трижды перисторассеченные на линейно-нитевидные дольки. Соцветие — густой слож - ный зонтик, состоящий из нескольких щитковидных зонтиков на длинных ножках, диаметром до 10-15 см, с 30-150 неодинаковыми, во время цветения распро - стертыми, тонкими, при созревании плодов сжатыми вместе и твердеющими лучами длиной 2-8 см. Зонтички 8-15 мм в диаметре с многочисленными короткими лу - чами, при созревании плодов утолщающимися, с обёр - точками из многочисленных, цельных щетиновидных листочков. Самые длинные лучи расположены по краю. В период созревания они загибаются к центру, закрывая, таким образом, короткие лучи и созревающие плоды. Цветки мелкие, обильно выделяющие нектар. Лепестки белые, в очертании обратносердцевидные, глубоко дву - лопастные, с неравными лопастями, на верхушке загну - тые внутрь, краевые увеличенные. Плод — яйцевид - ный, полый, гладкий вислоплодник, распадающийся на два полуплодика (мерикарпия). Карпофор на верхушке раздвоенный. Полуплодики с пятью продольными ни -тевидными ребрами, с брюшной стороны плоские, со спинной — выпуклые, с одного конца заостренные. Зрелый полуплодик — длиной около 2 мм и толщиной около 1 мм, цвет светло-коричневый или коричневый, ребра более светлые; недозрелые плоды — зеленоватые. Созревание плодов в центральных зонтиках происходит раньше, чем в боковых. Даже в одном и том же зонтике семена созревают не одновременно: по краям раньше, чем в центре. Цветет в июне-июле, плодоносит в июле-августе. Масса 1000 семян (полуплодиков) 0,72-0,85 г. Диплоидный набор хромосом 2 n=20, 22. В медицине используют плоды амми зубной.","Ареал. Средиземноморское растение, произраста - ющее в Южной Европе, Передней Азии, Северной и Се - веро-Западной Африке. Распространено на Кавказе. Как заносное, одиночно встречается в Ставропольском крае.",,
АНИС ОБЫКНОВЕННЫЙ,"Описание. Однолетник c прямостоячим, круглым, слегка бороздчатым, ветвистым почти от основания стеблем высотой 25-60 см. Стебель опушен короткими мягкими волосками. В редких посевах, особенно при влажной и ветреной погоде, стебли полегают. Корневая система стержневая с густой сетью боковых корней, проникающих в почву на глубину 50-70 см; основная масса корней залегает в поверхностном слое, на глуби - не 20-30 см. Прикорневые и нижние стеблевые листья округло-почковидные, цельные или лопастные, круп - нозубчатые с длинными черешками; средние — трой - чатораздельные на двух-трехлопастные сегменты, тоже с длинными черешками; верхние — дважды перисто - рассеченные на линейно-ланцетные дольки, сидячие, с узкими влагалищами. Нижние листья образуют более или менее крупную розетку. Соцветия — конечные мно - гоцветковые, сложные зонтики, состоящие из 7-15 про - стых зонтиков, крупные, диаметром до 6 см. Цветки мелкие, с чашечкой из 5 малозаметных зубчиков и с бе - лым или кремовым венчиком, состоящим из 5 лепестков с загнутой вверх верхушкой. Тычинок 5, чередующихся с лепестками. Пестик с нижней двугнездной завязью и двумя столбиками, сидящими на двураздельном под - пестичном диске. Коричневато-серый или буровато-серый плод аниса — яйцевидный или грушевидный вислоплод - ник, у основания расширенный, к верхушке суженный, слегка сжатый с боков, состоящий их двух слабоопу - шенных мерикарпиев (полуплодиков). При обмолоте от двусемянки плодоножка не отделяется и вислоплодник не распадается на мерикарпии. Длина двусемянки со - ставляет 3-5 мм, ширина — 1,5-3 мм. Выпуклая наруж - ная и плоская внутренняя поверхности полуплодиков бороздчатая, шероховатая. Полуплодики имеют пять слабо выступающих ребер, три из них находятся на выпуклой стороне, два — по бокам. В мезокарпии по - луплодика между ребрами расположены многочислен - ные эфирно-масличные канальцы, из них два проходят на плоской стороне, остальные — на выпуклой. Масса 1000 полуплодиков — от 1,5 до 4 г, в зависимости от сорта и условий выращивания. Диплоидный набор хромосом 2 n=20.","Ареал. Родина аниса обыкновенного точно не из - вестна, считается что это Малая Азия, Египет и стра - ны Восточного Средиземноморья. В этих регионах он встречается в диком виде. В России анис встречается только в культуре.","Экология. Анис – теплолюбивое, светолюбивое, предпочитающее плодородные почвы растение, опыля - емое насекомыми, в основном, пчелами. Анис – хоро - ший медонос. Температурный фактор определяет продолжитель - ность вегетации аниса 120- 150 дней. Такой вегетаци - онный период характерен для лесостепной и степной зоны России (южнее линии Воронеж-Саратов-Уральск: Башкортостан, Белгородская, Воронежская, Курская, Липецкая области, Краснодарский край). Культура аниса хорошо удается в районах, где сум - ма положительных температур за вегетационный пери - од составляет 2200-2400°С, а количество выпадающих осадков – 550-700 мм.","Ресурсы. Потребность здравоохранения РФ в пло - дах аниса небольшая, до 30 т в год. Большая часть их используется в парфюмерно-косметической, пищевой, ликерно-водочной промышленности (анисовая водка). Потребность в сырье этих отраслей – до 1000 т в год. Вся потребность в сырье аниса удовлетворяется за счет его выращивания на плантациях в специализиро - ванных хозяйствах."
АР АЛИЯ ВЫСОКАЯ,,,,
АРНИКА ГОРНАЯ,,,,
АРНИКА ШАМИССО,,,"Экология. Родина растения – степные районы Се - верной Америки. В других регионах её разводят в ка - честве заменителя арники горной, так как она более за - сухоустойчива и легче культивируется. Этот вид также происходит из степных районов Северной Америки и является полноценным заменителем арники горной. Для арники облиственной пригодны суглинистые, черноземные, серые лесные и дерново-подзолистые, хо - рошо окультуренные почвы.",Ресурсы. Необходимое сырье арники облиствен - ной в России получают путем возделывания.
