regions_yandex,season,time_mean,mean_time_short,year
алтайский край,autumn,2023-05-20 10:31:31.371326208,10:31,2024
алтайский край,spring,2023-05-20 14:13:41.046236416,14:13,2024
алтайский край,summer,2023-05-20 16:30:05.578494720,16:30,2024
алтайский край,winter,2023-05-20 08:14:24.340378368,08:14,2024
амурская область,autumn,2023-05-20 10:46:07.237993216,10:46,2024
амурская область,spring,2023-05-20 14:13:41.046236416,14:13,2024
амурская область,summer,2023-05-20 16:30:05.578494720,16:30,2024
амурская область,winter,2023-05-20 08:30:57.996292096,08:30,2024
архангельская область,autumn,2023-05-20 10:31:31.371326208,10:31,2024
архангельская область,spring,2023-05-20 14:13:41.046236416,14:13,2024
архангельская область,summer,2023-05-20 17:30:01.234408448,17:30,2024
архангельская область,winter,2023-05-20 08:14:24.340378368,08:14,2024
астраханская область,autumn,2023-05-20 10:31:31.371326208,10:31,2024
астраханская область,spring,2023-05-20 14:13:41.046236416,14:13,2024
астраханская область,summer,2023-05-20 16:30:05.578494720,16:30,2024
астраханская область,winter,2023-05-20 08:14:24.340378368,08:14,2024
белгородская область,autumn,2023-05-20 10:29:11.371326208,10:29,2024
белгородская область,spring,2023-05-20 14:13:41.046236416,14:13,2024
белгородская область,summer,2023-05-20 16:19:34.116128768,16:19,2024
белгородская область,winter,2023-05-20 08:22:49.121987328,08:22,2024
брянская область,autumn,2023-05-20 10:31:31.371326208,10:31,2024
брянская область,spring,2023-05-20 14:13:41.046236416,14:13,2024
брянская область,summer,2023-05-20 16:24:36.245161216,16:24,2024
брянская область,winter,2023-05-20 08:14:24.340378368,08:14,2024
владимирская область,autumn,2023-05-20 10:31:31.371326208,10:31,2024
владимирская область,spring,2023-05-20 14:15:03.637634304,14:15,2024
владимирская область,summer,2023-05-20 16:32:02.422938880,16:32,2024
владимирская область,winter,2023-05-20 08:14:24.340378368,08:14,2024
волгоградская область,autumn,2023-05-20 10:31:31.371326208,10:31,2024
волгоградская область,spring,2023-05-20 14:03:26.435125504,14:03,2024
волгоградская область,summer,2023-05-20 16:30:05.578494720,16:30,2024
волгоградская область,winter,2023-05-20 08:14:24.340378368,08:14,2024
вологодская область,autumn,2023-05-20 10:31:31.371326208,10:31,2024
вологодская область,spring,2023-05-20 14:13:41.046236416,14:13,2024
вологодская область,summer,2023-05-20 16:30:05.578494720,16:30,2024
вологодская область,winter,2023-05-20 08:00:16.727474944,08:00,2024
воронежская область,autumn,2023-05-20 10:42:37.460215040,10:42,2024
воронежская область,spring,2023-05-20 14:13:41.046236416,14:13,2024
воронежская область,summer,2023-05-20 16:30:05.578494720,16:30,2024
воронежская область,winter,2023-05-20 08:14:24.340378368,08:14,2024
еврейская автономная область,autumn,2023-05-20 10:39:12.640143360,10:39,2024
еврейская автономная область,spring,2023-05-20 14:13:41.046236416,14:13,2024
еврейская автономная область,summer,2023-05-20 16:30:05.578494720,16:30,2024
еврейская автономная область,winter,2023-05-20 08:14:24.340378368,08:14,2024
забайкальский край,autumn,2023-05-20 10:31:31.371326208,10:31,2024
забайкальский край,spring,2023-05-20 14:13:41.046236416,14:13,2024
забайкальский край,summer,2023-05-20 16:13:49.267383552,16:13,2024
забайкальский край,winter,2023-05-20 08:14:24.340378368,08:14,2024
ивановская область,autumn,2023-05-20 10:31:31.371326208,10:31,2024
ивановская область,spring,2023-05-20 14:13:41.046236416,14:13,2024
ивановская область,summer,2023-05-20 16:30:05.578494720,16:30,2024
ивановская область,winter,2023-05-20 08:14:24.340378368,08:14,2024
иркутская область,autumn,2023-05-20 10:31:31.371326208,10:31,2024
иркутская область,spring,2023-05-20 14:13:41.046236416,14:13,2024
иркутская область,summer,2023-05-20 16:30:05.578494720,16:30,2024
иркутская область,winter,2023-05-20 08:14:24.340378368,08:14,2024
кабардино-балкарская республика,autumn,2023-05-20 10:31:31.371326208,10:31,2024
кабардино-балкарская республика,spring,2023-05-20 13:57:41.390681344,13:57,2024
кабардино-балкарская республика,summer,2023-05-20 16:08:40.395698944,16:08,2024
кабардино-балкарская республика,winter,2023-05-20 08:14:24.340378368,08:14,2024
калининградская область,autumn,2023-05-20 10:31:31.371326208,10:31,2024
калининградская область,spring,2023-05-20 14:13:41.046236416,14:13,2024
калининградская область,summer,2023-05-20 16:30:05.578494720,16:30,2024
калининградская область,winter,2023-05-20 08:14:24.340378368,08:14,2024
калужская область,autumn,2023-05-20 10:31:31.371326208,10:31,2024
калужская область,spring,2023-05-20 14:13:41.046236416,14:13,2024
калужская область,summer,2023-05-20 16:25:06.363440896,16:25,2024
калужская область,winter,2023-05-20 08:14:24.340378368,08:14,2024
камчатский край,autumn,2023-05-20 10:31:31.371326208,10:31,2024
камчатский край,spring,2023-05-20 14:13:41.046236416,14:13,2024
камчатский край,summer,2023-05-20 16:30:05.578494720,16:30,2024
камчатский край,winter,2023-05-20 08:14:24.340378368,08:14,2024
карачаево-черкесская республика,autumn,2023-05-20 10:31:31.371326208,10:31,2024
карачаево-черкесская республика,spring,2023-05-20 14:13:41.046236416,14:13,2024
карачаево-черкесская республика,summer,2023-05-20 16:30:05.578494720,16:30,2024
карачаево-черкесская республика,winter,2023-05-20 08:14:24.340378368,08:14,2024
кемеровская область,autumn,2023-05-20 10:31:31.371326208,10:31,2024
кемеровская область,spring,2023-05-20 14:13:41.046236416,14:13,2024
кемеровская область,summer,2023-05-20 16:30:05.578494720,16:30,2024
кемеровская область,winter,2023-05-20 08:14:24.340378368,08:14,2024
кировская область,autumn,2023-05-20 10:31:31.371326208,10:31,2024
кировская область,spring,2023-05-20 14:13:41.046236416,14:13,2024
кировская область,summer,2023-05-20 16:30:05.578494720,16:30,2024
кировская область,winter,2023-05-20 08:14:24.340378368,08:14,2024
костромская область,autumn,2023-05-20 10:28:52.747670272,10:28,2024
костромская область,spring,2023-05-20 14:17:22.657347584,14:17,2024
костромская область,summer,2023-05-20 16:30:05.578494720,16:30,2024
костромская область,winter,2023-05-20 08:14:24.340378368,08:14,2024
краснодарский край,autumn,2023-05-20 10:31:31.371326208,10:31,2024
краснодарский край,spring,2023-05-20 14:13:41.046236416,14:13,2024
краснодарский край,summer,2023-05-20 16:30:05.578494720,16:30,2024
краснодарский край,winter,2023-05-20 08:29:59.317389312,08:29,2024
красноярский край,autumn,2023-05-20 10:31:31.371326208,10:31,2024
красноярский край,spring,2023-05-20 14:13:25.325806336,14:13,2024
красноярский край,summer,2023-05-20 16:30:56.643010816,16:30,2024
красноярский край,winter,2023-05-20 08:13:17.705969664,08:13,2024
курганская область,autumn,2023-05-20 10:31:31.371326208,10:31,2024
курганская область,spring,2023-05-20 14:13:02.924014336,14:13,2024
курганская область,summer,2023-05-20 16:30:05.578494720,16:30,2024
курганская область,winter,2023-05-20 08:14:24.340378368,08:14,2024
курская область,autumn,2023-05-20 10:31:31.371326208,10:31,2024
курская область,spring,2023-05-20 14:07:25.390681088,14:07,2024
курская область,summer,2023-05-20 16:30:05.578494720,16:30,2024
курская область,winter,2023-05-20 08:14:24.340378368,08:14,2024
ленинградская область,autumn,2023-05-20 10:31:31.371326208,10:31,2024
ленинградская область,spring,2023-05-20 14:13:41.046236416,14:13,2024
ленинградская область,summer,2023-05-20 16:30:05.578494720,16:30,2024
ленинградская область,winter,2023-05-20 08:14:24.340378368,08:14,2024
липецкая область,autumn,2023-05-20 10:31:31.371326208,10:31,2024
липецкая область,spring,2023-05-20 14:13:41.046236416,14:13,2024
липецкая область,summer,2023-05-20 16:30:05.578494720,16:30,2024
липецкая область,winter,2023-05-20 08:14:24.340378368,08:14,2024
магаданская область,autumn,2023-05-20 10:31:31.371326208,10:31,2024
магаданская область,spring,2023-05-20 14:13:41.046236416,14:13,2024
магаданская область,summer,2023-05-20 16:52:44.600716544,16:52,2024
магаданская область,winter,2023-05-20 08:05:55.271412480,08:05,2024
москва,autumn,2023-05-20 10:31:31.371326208,10:31,2024
москва,spring,2023-05-20 14:13:41.046236416,14:13,2024
москва,summer,2023-05-20 16:30:05.578494720,16:30,2024
москва,winter,2023-05-20 08:14:24.340378368,08:14,2024
московская область,autumn,2023-05-20 10:31:31.371326208,10:31,2024
московская область,spring,2023-05-20 14:13:41.046236416,14:13,2024
московская область,summer,2023-05-20 16:30:05.578494720,16:30,2024
московская область,winter,2023-05-20 08:14:24.340378368,08:14,2024
мурманская область,autumn,2023-05-20 10:42:31.193548544,10:42,2024
мурманская область,spring,2023-05-20 14:50:43.367024896,14:50,2024
мурманская область,summer,2023-05-20 16:30:05.578494720,16:30,2024
мурманская область,winter,2023-05-20 07:33:38.087504640,07:33,2024
ненецкий автономный округ,autumn,2023-05-20 10:31:31.371326208,10:31,2024
ненецкий автономный округ,spring,2023-05-20 14:13:41.046236416,14:13,2024
ненецкий автономный округ,summer,2023-05-20 16:30:05.578494720,16:30,2024
ненецкий автономный округ,winter,2023-05-20 08:14:24.340378368,08:14,2024
